CODIGO-IES;NM_PROGRAMA_IES;SG_ENTIDADE_ENSINO;NM_ENTIDADE_ENSINO;SG_UF_PROGRAMA;NM_REGIAO;NM_MUNICIPIO_PROGRAMA_IES;NM_MODALIDADE_PROGRAMA
10001018002P1;BIOLOGIA EXPERIMENTAL;UNIR;UNIVERSIDADE FEDERAL DE RONDÔNIA;RO;NORTE       ;PORTO VELHO          ;ACADÊMICO   
10001018004P4;DESENVOLVIMENTO REGIONAL E MEIO AMBIENTE;UNIR;UNIVERSIDADE FEDERAL DE RONDÔNIA;RO;NORTE       ;PORTO VELHO          ;ACADÊMICO   
10001018005P0;GEOGRAFIA;UNIR;UNIVERSIDADE FEDERAL DE RONDÔNIA;RO;NORTE       ;PORTO VELHO          ;ACADÊMICO   
10001018006P7;ADMINISTRAÇÃO;UNIR;UNIVERSIDADE FEDERAL DE RONDÔNIA;RO;NORTE       ;PORTO VELHO          ;ACADÊMICO   
10001018009P6;PSICOLOGIA;UNIR;UNIVERSIDADE FEDERAL DE RONDÔNIA;RO;NORTE       ;PORTO VELHO          ;ACADÊMICO   
10001018010P4;LETRAS;UNIR;UNIVERSIDADE FEDERAL DE RONDÔNIA;RO;NORTE       ;PORTO VELHO          ;ACADÊMICO   
10001018011P0;EDUCAÇÃO;UNIR;UNIVERSIDADE FEDERAL DE RONDÔNIA;RO;NORTE       ;PORTO VELHO          ;ACADÊMICO   
10001018012P7;ESTUDOS LITERÁRIOS;UNIR;UNIVERSIDADE FEDERAL DE RONDÔNIA;RO;NORTE       ;PORTO VELHO          ;ACADÊMICO   
10001018016P2;EDUCAÇÃO ESCOLAR;UNIR;UNIVERSIDADE FEDERAL DE RONDÔNIA;RO;NORTE       ;PORTO VELHO          ;PROFISSIONAL
10001018017P9;CIÊNCIAS AMBIENTAIS;UNIR;UNIVERSIDADE FEDERAL DE RONDÔNIA;RO;NORTE       ;ROLIM DE MOURA       ;ACADÊMICO   
